Column,Original_Text,Tokenized_Sentences,Tokenized_Words
Question,"Cowpox is classified as a DNA virus because its genome, or genetic material, consists of double-stranded DNA.
Which of the following claims is best supported by the information above?","['Cowpox is classified as a DNA virus because its genome, or genetic material, consists of double-stranded DNA.', 'Which of the following claims is best supported by the information above?']","['Cowpox', 'is', 'classified', 'as', 'a', 'DNA', 'virus', 'because', 'its', 'genome', ',', 'or', 'genetic', 'material', ',', 'consists', 'of', 'double-stranded', 'DNA', '.', 'Which', 'of', 'the', 'following', 'claims', 'is', 'best', 'supported', 'by', 'the', 'information', 'above', '?']"
Question,"A team of virologists has isolated a nucleic acid sample from a newly discovered virus. In order to classify the virus, they need to figure out whether the viral nucleic acid is DNA or RNA.
Which of the the following characteristics of the nucleic acid sample would best help classify the viral nucleic acid as DNA or RNA?","['A team of virologists has isolated a nucleic acid sample from a newly discovered virus.', 'In order to classify the virus, they need to figure out whether the viral nucleic acid is DNA or RNA.', 'Which of the the following characteristics of the nucleic acid sample would best help classify the viral nucleic acid as DNA or RNA?']","['A', 'team', 'of', 'virologists', 'has', 'isolated', 'a', 'nucleic', 'acid', 'sample', 'from', 'a', 'newly', 'discovered', 'virus', '.', 'In', 'order', 'to', 'classify', 'the', 'virus', ',', 'they', 'need', 'to', 'figure', 'out', 'whether', 'the', 'viral', 'nucleic', 'acid', 'is', 'DNA', 'or', 'RNA', '.', 'Which', 'of', 'the', 'the', 'following', 'characteristics', 'of', 'the', 'nucleic', 'acid', 'sample', 'would', 'best', 'help', 'classify', 'the', 'viral', 'nucleic', 'acid', 'as', 'DNA', 'or', 'RNA', '?']"
Question,"Which of the following statements accurately describes a similarity between the nucleotides of DNA and RNA?",['Which of the following statements accurately describes a similarity between the nucleotides of DNA and RNA?'],"['Which', 'of', 'the', 'following', 'statements', 'accurately', 'describes', 'a', 'similarity', 'between', 'the', 'nucleotides', 'of', 'DNA', 'and', 'RNA', '?']"
Question,"The following excerpt describes a potential origin of the first living cells on earth.
We have proposed that a simple primitive cell, or protocell, would consist of two key components: a protocell membrane that defines a spatially localized compartment, and an informational polymer that allows for the replication and inheritance of functional information.
Schrum, J. P., Zhu, T. F., & Szostak, J. W. (2010). The Origins of Cellular Life. Cold Spring Harbor Perspectives in Biology, 2(9), a002212. http://doi.org/10.1101/cshperspect.a002212
Based on this excerpt, which of the following questions would best direct an investigation on whether the ""informational polymer"" is DNA or RNA?","['The following excerpt describes a potential origin of the first living cells on earth.', 'We have proposed that a simple primitive cell, or protocell, would consist of two key components: a protocell membrane that defines a spatially localized compartment, and an informational polymer that allows for the replication and inheritance of functional information.', 'Schrum, J. P., Zhu, T. F., & Szostak, J. W. (2010).', 'The Origins of Cellular Life.', 'Cold Spring Harbor Perspectives in Biology, 2(9), a002212.', 'http://doi.org/10.1101/cshperspect.a002212\r\nBased on this excerpt, which of the following questions would best direct an investigation on whether the ""informational polymer"" is DNA or RNA?']","['The', 'following', 'excerpt', 'describes', 'a', 'potential', 'origin', 'of', 'the', 'first', 'living', 'cells', 'on', 'earth', '.', 'We', 'have', 'proposed', 'that', 'a', 'simple', 'primitive', 'cell', ',', 'or', 'protocell', ',', 'would', 'consist', 'of', 'two', 'key', 'components', ':', 'a', 'protocell', 'membrane', 'that', 'defines', 'a', 'spatially', 'localized', 'compartment', ',', 'and', 'an', 'informational', 'polymer', 'that', 'allows', 'for', 'the', 'replication', 'and', 'inheritance', 'of', 'functional', 'information', '.', 'Schrum', ',', 'J.', 'P.', ',', 'Zhu', ',', 'T.', 'F.', ',', '&', 'Szostak', ',', 'J.', 'W.', '(', '2010', ')', '.', 'The', 'Origins', 'of', 'Cellular', 'Life', '.', 'Cold', 'Spring', 'Harbor', 'Perspectives', 'in', 'Biology', ',', '2', '(', '9', ')', ',', 'a002212', '.', 'http', ':', '//doi.org/10.1101/cshperspect.a002212', 'Based', 'on', 'this', 'excerpt', ',', 'which', 'of', 'the', 'following', 'questions', 'would', 'best', 'direct', 'an', 'investigation', 'on', 'whether', 'the', '``', 'informational', 'polymer', ""''"", 'is', 'DNA', 'or', 'RNA', '?']"
Question,What percent of the human body is water?,['What percent of the human body is water?'],"['What', 'percent', 'of', 'the', 'human', 'body', 'is', 'water', '?']"
Question,What is the structure of a water molecule?,['What is the structure of a water molecule?'],"['What', 'is', 'the', 'structure', 'of', 'a', 'water', 'molecule', '?']"
Question,Why does the oxygen end of the water molecule have a partial negative charge and the hydrogen end have a partial positive charge? ,['Why does the oxygen end of the water molecule have a partial negative charge and the hydrogen end have a partial positive charge?'],"['Why', 'does', 'the', 'oxygen', 'end', 'of', 'the', 'water', 'molecule', 'have', 'a', 'partial', 'negative', 'charge', 'and', 'the', 'hydrogen', 'end', 'have', 'a', 'partial', 'positive', 'charge', '?']"
Question,What are hydrogen bonds?,['What are hydrogen bonds?'],"['What', 'are', 'hydrogen', 'bonds', '?']"
Question,What is water attracted to?,['What is water attracted to?'],"['What', 'is', 'water', 'attracted', 'to', '?']"
Question,What is cohesion?,['What is cohesion?'],"['What', 'is', 'cohesion', '?']"
Question,What is surface tension?,['What is surface tension?'],"['What', 'is', 'surface', 'tension', '?']"
Question,What does water's adhesive properties allow it to do?,"[""What does water's adhesive properties allow it to do?""]","['What', 'does', 'water', ""'s"", 'adhesive', 'properties', 'allow', 'it', 'to', 'do', '?']"
Question,What happens to hydrogen bonds in water when the water is boiled?  ,['What happens to hydrogen bonds in water when the water is boiled?'],"['What', 'happens', 'to', 'hydrogen', 'bonds', 'in', 'water', 'when', 'the', 'water', 'is', 'boiled', '?']"
Question,What happens to hydrogen bonds in water when the water is frozen?,['What happens to hydrogen bonds in water when the water is frozen?'],"['What', 'happens', 'to', 'hydrogen', 'bonds', 'in', 'water', 'when', 'the', 'water', 'is', 'frozen', '?']"
Question,What happens to water's density in solid form compared to liquid form?,"[""What happens to water's density in solid form compared to liquid form?""]","['What', 'happens', 'to', 'water', ""'s"", 'density', 'in', 'solid', 'form', 'compared', 'to', 'liquid', 'form', '?']"
Question,How can water minimize changes in temperature?,['How can water minimize changes in temperature?'],"['How', 'can', 'water', 'minimize', 'changes', 'in', 'temperature', '?']"
Question,What happens to the surface water evaporates from as water evaporates?,['What happens to the surface water evaporates from as water evaporates?'],"['What', 'happens', 'to', 'the', 'surface', 'water', 'evaporates', 'from', 'as', 'water', 'evaporates', '?']"
Question,Can water dissolve everything?,['Can water dissolve everything?'],"['Can', 'water', 'dissolve', 'everything', '?']"
Question,What are the two regions of an atom?,['What are the two regions of an atom?'],"['What', 'are', 'the', 'two', 'regions', 'of', 'an', 'atom', '?']"
Question,Why is carbon used to make molecular backbones?,['Why is carbon used to make molecular backbones?'],"['Why', 'is', 'carbon', 'used', 'to', 'make', 'molecular', 'backbones', '?']"
Question,Why do hydrocarbons make good fuels?,['Why do hydrocarbons make good fuels?'],"['Why', 'do', 'hydrocarbons', 'make', 'good', 'fuels', '?']"
Question,"What's the structure of methane, a hydrocarbon?","[""What's the structure of methane, a hydrocarbon?""]","['What', ""'s"", 'the', 'structure', 'of', 'methane', ',', 'a', 'hydrocarbon', '?']"
Question,Are most macromolecules classified as hydrocarbons?,['Are most macromolecules classified as hydrocarbons?'],"['Are', 'most', 'macromolecules', 'classified', 'as', 'hydrocarbons', '?']"
Question,How are functional groups can be classified as hydrophobic or hydrophilic?,['How are functional groups can be classified as hydrophobic or hydrophilic?'],"['How', 'are', 'functional', 'groups', 'can', 'be', 'classified', 'as', 'hydrophobic', 'or', 'hydrophilic', '?']"
Question,Where are carboxyl groups commonly found?,['Where are carboxyl groups commonly found?'],"['Where', 'are', 'carboxyl', 'groups', 'commonly', 'found', '?']"
Question,What are the two types of ions?,['What are the two types of ions?'],"['What', 'are', 'the', 'two', 'types', 'of', 'ions', '?']"
Question,What are ionic bonds?,['What are ionic bonds?'],"['What', 'are', 'ionic', 'bonds', '?']"
Question,"What is present in a lot of sports drinks and are necessary for nerve impulse conduction, muscle contractions and water balance?","['What is present in a lot of sports drinks and are necessary for nerve impulse conduction, muscle contractions and water balance?']","['What', 'is', 'present', 'in', 'a', 'lot', 'of', 'sports', 'drinks', 'and', 'are', 'necessary', 'for', 'nerve', 'impulse', 'conduction', ',', 'muscle', 'contractions', 'and', 'water', 'balance', '?']"
Question,"In the molecules of living organisms, which bonds are more often present: covalent bonds or ionic bonds?","['In the molecules of living organisms, which bonds are more often present: covalent bonds or ionic bonds?']","['In', 'the', 'molecules', 'of', 'living', 'organisms', ',', 'which', 'bonds', 'are', 'more', 'often', 'present', ':', 'covalent', 'bonds', 'or', 'ionic', 'bonds', '?']"
Question,Why do slightly positive charges and slightly negative charges develop in certain molecules? ,['Why do slightly positive charges and slightly negative charges develop in certain molecules?'],"['Why', 'do', 'slightly', 'positive', 'charges', 'and', 'slightly', 'negative', 'charges', 'develop', 'in', 'certain', 'molecules', '?']"
Question,Which element in a polar covalent bond will usually take the slightly more negative charge?,['Which element in a polar covalent bond will usually take the slightly more negative charge?'],"['Which', 'element', 'in', 'a', 'polar', 'covalent', 'bond', 'will', 'usually', 'take', 'the', 'slightly', 'more', 'negative', 'charge', '?']"
Question,How do nonpolar covalent bonds form?,['How do nonpolar covalent bonds form?'],"['How', 'do', 'nonpolar', 'covalent', 'bonds', 'form', '?']"
Question,What bonds can occur between atoms or molecules of any kind?,['What bonds can occur between atoms or molecules of any kind?'],"['What', 'bonds', 'can', 'occur', 'between', 'atoms', 'or', 'molecules', 'of', 'any', 'kind', '?']"
Question,What is the role of strong and weak bonds in the formation of DNA?,['What is the role of strong and weak bonds in the formation of DNA?'],"['What', 'is', 'the', 'role', 'of', 'strong', 'and', 'weak', 'bonds', 'in', 'the', 'formation', 'of', 'DNA', '?']"
Question,How do you build polymers from monomers?,['How do you build polymers from monomers?'],"['How', 'do', 'you', 'build', 'polymers', 'from', 'monomers', '?']"
Question,How do polymers turn back into monomers?,['How do polymers turn back into monomers?'],"['How', 'do', 'polymers', 'turn', 'back', 'into', 'monomers', '?']"
Question,Does dehydration synthesis or hydrolysis require energy?,['Does dehydration synthesis or hydrolysis require energy?'],"['Does', 'dehydration', 'synthesis', 'or', 'hydrolysis', 'require', 'energy', '?']"
Question,Does dehydration synthesis or hydrolysis release energy?,['Does dehydration synthesis or hydrolysis release energy?'],"['Does', 'dehydration', 'synthesis', 'or', 'hydrolysis', 'release', 'energy', '?']"
Question,What's the role of enzymes in dehydration synthesis/hydrolysis?,"[""What's the role of enzymes in dehydration synthesis/hydrolysis?""]","['What', ""'s"", 'the', 'role', 'of', 'enzymes', 'in', 'dehydration', 'synthesis/hydrolysis', '?']"
Question,What elements make up a carbohydrate?,['What elements make up a carbohydrate?'],"['What', 'elements', 'make', 'up', 'a', 'carbohydrate', '?']"
Question,What type of carbohydrate has an empirical formula of CH2O?,['What type of carbohydrate has an empirical formula of CH2O?'],"['What', 'type', 'of', 'carbohydrate', 'has', 'an', 'empirical', 'formula', 'of', 'CH2O', '?']"
Question,"What differs glucose, fructose, and galactose?","['What differs glucose, fructose, and galactose?']","['What', 'differs', 'glucose', ',', 'fructose', ',', 'and', 'galactose', '?']"
Question,What are the forms of glucose?,['What are the forms of glucose?'],"['What', 'are', 'the', 'forms', 'of', 'glucose', '?']"
Question,How do disaccharides form?,['How do disaccharides form?'],"['How', 'do', 'disaccharides', 'form', '?']"
Question,What are polysaccharides?,['What are polysaccharides?'],"['What', 'are', 'polysaccharides', '?']"
Question,What two polysaccharides make up starch?,['What two polysaccharides make up starch?'],"['What', 'two', 'polysaccharides', 'make', 'up', 'starch', '?']"
Question,What happens to glycogen when blood glucose levels decrease?,['What happens to glycogen when blood glucose levels decrease?'],"['What', 'happens', 'to', 'glycogen', 'when', 'blood', 'glucose', 'levels', 'decrease', '?']"
Question,Why are plant cell walls so rigid?,['Why are plant cell walls so rigid?'],"['Why', 'are', 'plant', 'cell', 'walls', 'so', 'rigid', '?']"
Question,Can organisms digest cellulose?,['Can organisms digest cellulose?'],"['Can', 'organisms', 'digest', 'cellulose', '?']"
Question,What is the role of nucleic acids?,['What is the role of nucleic acids?'],"['What', 'is', 'the', 'role', 'of', 'nucleic', 'acids', '?']"
Question,Where is DNA found in eukaryotes and prokaryotes?,['Where is DNA found in eukaryotes and prokaryotes?'],"['Where', 'is', 'DNA', 'found', 'in', 'eukaryotes', 'and', 'prokaryotes', '?']"
Question,What is the structure of DNA in eukaryotes and prokaryotes?,['What is the structure of DNA in eukaryotes and prokaryotes?'],"['What', 'is', 'the', 'structure', 'of', 'DNA', 'in', 'eukaryotes', 'and', 'prokaryotes', '?']"
Question,What is the Quaternary Structure of the protein?,['What is the Quaternary Structure of the protein?'],"['What', 'is', 'the', 'Quaternary', 'Structure', 'of', 'the', 'protein', '?']"
Question,What type of bonds stabilize the quaternary structure of a protein?,['What type of bonds stabilize the quaternary structure of a protein?'],"['What', 'type', 'of', 'bonds', 'stabilize', 'the', 'quaternary', 'structure', 'of', 'a', 'protein', '?']"
Question,Which level of protein folding will be the first to break?,['Which level of protein folding will be the first to break?'],"['Which', 'level', 'of', 'protein', 'folding', 'will', 'be', 'the', 'first', 'to', 'break', '?']"
Question,"How does structure affect function relative to starch, glycogen, and cellulose?","['How does structure affect function relative to starch, glycogen, and cellulose?']","['How', 'does', 'structure', 'affect', 'function', 'relative', 'to', 'starch', ',', 'glycogen', ',', 'and', 'cellulose', '?']"
Question,Which of the following is a similarity between starch and glycogen?,['Which of the following is a similarity between starch and glycogen?'],"['Which', 'of', 'the', 'following', 'is', 'a', 'similarity', 'between', 'starch', 'and', 'glycogen', '?']"
Question,Which of the following is a difference between starch and cellulose?,['Which of the following is a difference between starch and cellulose?'],"['Which', 'of', 'the', 'following', 'is', 'a', 'difference', 'between', 'starch', 'and', 'cellulose', '?']"
Question,Which of the following is a characteristic of glycogen?,['Which of the following is a characteristic of glycogen?'],"['Which', 'of', 'the', 'following', 'is', 'a', 'characteristic', 'of', 'glycogen', '?']"
Question,What is the function of cellulose in plant cells?,['What is the function of cellulose in plant cells?'],"['What', 'is', 'the', 'function', 'of', 'cellulose', 'in', 'plant', 'cells', '?']"
Question,How does structure affect function realitive to lipids?,['How does structure affect function realitive to lipids?'],"['How', 'does', 'structure', 'affect', 'function', 'realitive', 'to', 'lipids', '?']"
Question,What is the main difference between saturated and unsaturated fats?,['What is the main difference between saturated and unsaturated fats?'],"['What', 'is', 'the', 'main', 'difference', 'between', 'saturated', 'and', 'unsaturated', 'fats', '?']"
Question,Which of the following is true about the melting points of saturated and unsaturated fats?,['Which of the following is true about the melting points of saturated and unsaturated fats?'],"['Which', 'of', 'the', 'following', 'is', 'true', 'about', 'the', 'melting', 'points', 'of', 'saturated', 'and', 'unsaturated', 'fats', '?']"
Question,Which of the following is an example of a food that contains saturated fats?,['Which of the following is an example of a food that contains saturated fats?'],"['Which', 'of', 'the', 'following', 'is', 'an', 'example', 'of', 'a', 'food', 'that', 'contains', 'saturated', 'fats', '?']"
Question,Why are unsaturated fats generally considered healthier than saturated fats?,['Why are unsaturated fats generally considered healthier than saturated fats?'],"['Why', 'are', 'unsaturated', 'fats', 'generally', 'considered', 'healthier', 'than', 'saturated', 'fats', '?']"
Question,Is it true that all saturated fats are considered harmful to health?,['Is it true that all saturated fats are considered harmful to health?'],"['Is', 'it', 'true', 'that', 'all', 'saturated', 'fats', 'are', 'considered', 'harmful', 'to', 'health', '?']"
Question,What type of RNA makes a copy of a gene before the information is used for protein synthesis?,['What type of RNA makes a copy of a gene before the information is used for protein synthesis?'],"['What', 'type', 'of', 'RNA', 'makes', 'a', 'copy', 'of', 'a', 'gene', 'before', 'the', 'information', 'is', 'used', 'for', 'protein', 'synthesis', '?']"
Question,What are the parts of a nucleotide?,['What are the parts of a nucleotide?'],"['What', 'are', 'the', 'parts', 'of', 'a', 'nucleotide', '?']"
Question,What are the nitrogenous bases for DNA?,['What are the nitrogenous bases for DNA?'],"['What', 'are', 'the', 'nitrogenous', 'bases', 'for', 'DNA', '?']"
Question,Which bases in DNA are purines?,['Which bases in DNA are purines?'],"['Which', 'bases', 'in', 'DNA', 'are', 'purines', '?']"
Question,Which bases in DNA are pyrimidines?,['Which bases in DNA are pyrimidines?'],"['Which', 'bases', 'in', 'DNA', 'are', 'pyrimidines', '?']"
Question,What is directionality in nucleotides?,['What is directionality in nucleotides?'],"['What', 'is', 'directionality', 'in', 'nucleotides', '?']"
Question,What does antiparallel mean in the context of nucleotides?,['What does antiparallel mean in the context of nucleotides?'],"['What', 'does', 'antiparallel', 'mean', 'in', 'the', 'context', 'of', 'nucleotides', '?']"
Question,What is the role of a ribosome in protein synthesis?,['What is the role of a ribosome in protein synthesis?'],"['What', 'is', 'the', 'role', 'of', 'a', 'ribosome', 'in', 'protein', 'synthesis', '?']"
Question,What does rRNA do?,['What does rRNA do?'],"['What', 'does', 'rRNA', 'do', '?']"
Question,What does tRNA do?,['What does tRNA do?'],"['What', 'does', 'tRNA', 'do', '?']"
Question,What do miRNAs and siRNAs do?,['What do miRNAs and siRNAs do?'],"['What', 'do', 'miRNAs', 'and', 'siRNAs', 'do', '?']"
Question,What are the two types of stimuli responses?,['What are the two types of stimuli responses?'],"['What', 'are', 'the', 'two', 'types', 'of', 'stimuli', 'responses', '?']"
Question,How do single-celled organisms reproduce?,['How do single-celled organisms reproduce?'],"['How', 'do', 'single-celled', 'organisms', 'reproduce', '?']"
Question,What cells help multicelular organisms reproduce?,['What cells help multicelular organisms reproduce?'],"['What', 'cells', 'help', 'multicelular', 'organisms', 'reproduce', '?']"
Question,Are adaptations constant?,['Are adaptations constant?'],"['Are', 'adaptations', 'constant', '?']"
Question,Do all organisms adapt to their environment?,['Do all organisms adapt to their environment?'],"['Do', 'all', 'organisms', 'adapt', 'to', 'their', 'environment', '?']"
Question,What is homeostasis?,['What is homeostasis?'],"['What', 'is', 'homeostasis', '?']"
Question,What is the smallest and most fundamental unit of matter?,['What is the smallest and most fundamental unit of matter?'],"['What', 'is', 'the', 'smallest', 'and', 'most', 'fundamental', 'unit', 'of', 'matter', '?']"
Question,What are the aggregates of macromolecules surrounded by membranes called that some cells have?,['What are the aggregates of macromolecules surrounded by membranes called that some cells have?'],"['What', 'are', 'the', 'aggregates', 'of', 'macromolecules', 'surrounded', 'by', 'membranes', 'called', 'that', 'some', 'cells', 'have', '?']"
Question,Are viruses considered living?,['Are viruses considered living?'],"['Are', 'viruses', 'considered', 'living', '?']"
Question,What are the two types of classifications of cells?,['What are the two types of classifications of cells?'],"['What', 'are', 'the', 'two', 'types', 'of', 'classifications', 'of', 'cells', '?']"
Question,Are single-celled creatures considered organisms?,['Are single-celled creatures considered organisms?'],"['Are', 'single-celled', 'creatures', 'considered', 'organisms', '?']"
Question,What are groups of combined cells called in larger organisms?,['What are groups of combined cells called in larger organisms?'],"['What', 'are', 'groups', 'of', 'combined', 'cells', 'called', 'in', 'larger', 'organisms', '?']"
Question,What are groups of tissues called in larger organisms?,['What are groups of tissues called in larger organisms?'],"['What', 'are', 'groups', 'of', 'tissues', 'called', 'in', 'larger', 'organisms', '?']"
Question,What are multiple functionally-related organs called?,['What are multiple functionally-related organs called?'],"['What', 'are', 'multiple', 'functionally-related', 'organs', 'called', '?']"
Question,Do all elements occur naturally?,['Do all elements occur naturally?'],"['Do', 'all', 'elements', 'occur', 'naturally', '?']"
Question,What elements are common in all living organisms?,['What elements are common in all living organisms?'],"['What', 'elements', 'are', 'common', 'in', 'all', 'living', 'organisms', '?']"
Question,"Do protons, neutrons, and electrons all weight the same?","['Do protons, neutrons, and electrons all weight the same?']","['Do', 'protons', ',', 'neutrons', ',', 'and', 'electrons', 'all', 'weight', 'the', 'same', '?']"
Question,Can the amount of neutrons vary for an element?,['Can the amount of neutrons vary for an element?'],"['Can', 'the', 'amount', 'of', 'neutrons', 'vary', 'for', 'an', 'element', '?']"
Question,Can isotopes be naturally occuring?,['Can isotopes be naturally occuring?'],"['Can', 'isotopes', 'be', 'naturally', 'occuring', '?']"
Question,What rule do atoms follow to fill their electron shells?,['What rule do atoms follow to fill their electron shells?'],"['What', 'rule', 'do', 'atoms', 'follow', 'to', 'fill', 'their', 'electron', 'shells', '?']"
Question,When is an atom most stable?,['When is an atom most stable?'],"['When', 'is', 'an', 'atom', 'most', 'stable', '?']"
Question,What group on the periodic table is the most stable?,['What group on the periodic table is the most stable?'],"['What', 'group', 'on', 'the', 'periodic', 'table', 'is', 'the', 'most', 'stable', '?']"
Question,Is the Bohr model accurate in how it depicts spatial electron distribution?,['Is the Bohr model accurate in how it depicts spatial electron distribution?'],"['Is', 'the', 'Bohr', 'model', 'accurate', 'in', 'how', 'it', 'depicts', 'spatial', 'electron', 'distribution', '?']"
Question,What are the four types of subshells?,['What are the four types of subshells?'],"['What', 'are', 'the', 'four', 'types', 'of', 'subshells', '?']"
Question,What is the closest orbital to the nucleus?,['What is the closest orbital to the nucleus?'],"['What', 'is', 'the', 'closest', 'orbital', 'to', 'the', 'nucleus', '?']"
Question,How do chemical reactions occur?,['How do chemical reactions occur?'],"['How', 'do', 'chemical', 'reactions', 'occur', '?']"
Question,"What is a suggested and testable explanation for an event called?
",['What is a suggested and testable explanation for an event called?'],"['What', 'is', 'a', 'suggested', 'and', 'testable', 'explanation', 'for', 'an', 'event', 'called', '?']"
Question,"Which of the following structures is conserved in all living organisms and points to a common origin?
",['Which of the following structures is conserved in all living organisms and points to a common origin?'],"['Which', 'of', 'the', 'following', 'structures', 'is', 'conserved', 'in', 'all', 'living', 'organisms', 'and', 'points', 'to', 'a', 'common', 'origin', '?']"
Question,"The French scientist Jacques Monod famously said, “Anything found to be true of E. coli must also be true of elephants.” How is this statement based on the notion that living organisms share a common ancestor?","['The French scientist Jacques Monod famously said, “Anything found to be true of E. coli must also be true of elephants.” How is this statement based on the notion that living organisms share a common ancestor?']","['The', 'French', 'scientist', 'Jacques', 'Monod', 'famously', 'said', ',', '“', 'Anything', 'found', 'to', 'be', 'true', 'of', 'E.', 'coli', 'must', 'also', 'be', 'true', 'of', 'elephants.', '”', 'How', 'is', 'this', 'statement', 'based', 'on', 'the', 'notion', 'that', 'living', 'organisms', 'share', 'a', 'common', 'ancestor', '?']"
Question,"Birds have been reclassified as reptiles. What is one line of evidence that has led to this reclassification?","['Birds have been reclassified as reptiles.', 'What is one line of evidence that has led to this reclassification?']","['Birds', 'have', 'been', 'reclassified', 'as', 'reptiles', '.', 'What', 'is', 'one', 'line', 'of', 'evidence', 'that', 'has', 'led', 'to', 'this', 'reclassification', '?']"
Question,"What is the name for the formal process through which scientific research is checked for originality, significance, and quality before being accepted into scientific literature?","['What is the name for the formal process through which scientific research is checked for originality, significance, and quality before being accepted into scientific literature?']","['What', 'is', 'the', 'name', 'for', 'the', 'formal', 'process', 'through', 'which', 'scientific', 'research', 'is', 'checked', 'for', 'originality', ',', 'significance', ',', 'and', 'quality', 'before', 'being', 'accepted', 'into', 'scientific', 'literature', '?']"
Question,Which of the following is an example of deductive reasoning?,['Which of the following is an example of deductive reasoning?'],"['Which', 'of', 'the', 'following', 'is', 'an', 'example', 'of', 'deductive', 'reasoning', '?']"
Question,Why are viruses not considered living?,['Why are viruses not considered living?'],"['Why', 'are', 'viruses', 'not', 'considered', 'living', '?']"
Question,The presence of a membrane-enclosed nucleus is a characteristic of what?,['The presence of a membrane-enclosed nucleus is a characteristic of what?'],"['The', 'presence', 'of', 'a', 'membrane-enclosed', 'nucleus', 'is', 'a', 'characteristic', 'of', 'what', '?']"
Question,What is a group of individuals of the same species living in the same area called?,['What is a group of individuals of the same species living in the same area called?'],"['What', 'is', 'a', 'group', 'of', 'individuals', 'of', 'the', 'same', 'species', 'living', 'in', 'the', 'same', 'area', 'called', '?']"
Question,Which of the following sequences ranks a hierarchy of biological organization from the most inclusive to the least complex level?,['Which of the following sequences ranks a hierarchy of biological organization from the most inclusive to the least complex level?'],"['Which', 'of', 'the', 'following', 'sequences', 'ranks', 'a', 'hierarchy', 'of', 'biological', 'organization', 'from', 'the', 'most', 'inclusive', 'to', 'the', 'least', 'complex', 'level', '?']"
Question,What is the correct formatting for a chemical reaction?,['What is the correct formatting for a chemical reaction?'],"['What', 'is', 'the', 'correct', 'formatting', 'for', 'a', 'chemical', 'reaction', '?']"
Question,What does it mean for a chemical equation to be balanced?,['What does it mean for a chemical equation to be balanced?'],"['What', 'does', 'it', 'mean', 'for', 'a', 'chemical', 'equation', 'to', 'be', 'balanced', '?']"
Question,How are reversible and irreversible chemical equations differentiated?,['How are reversible and irreversible chemical equations differentiated?'],"['How', 'are', 'reversible', 'and', 'irreversible', 'chemical', 'equations', 'differentiated', '?']"
Question,What is the movement of electrons from one element to another known as?,['What is the movement of electrons from one element to another known as?'],"['What', 'is', 'the', 'movement', 'of', 'electrons', 'from', 'one', 'element', 'to', 'another', 'known', 'as', '?']"
Question,What suffix does an Anionic element always end with? ,['What suffix does an Anionic element always end with?'],"['What', 'suffix', 'does', 'an', 'Anionic', 'element', 'always', 'end', 'with', '?']"
Question,How are ionic bonds formed?,['How are ionic bonds formed?'],"['How', 'are', 'ionic', 'bonds', 'formed', '?']"
Question,How do the amount of covalent bonds relate to its strength? ,['How do the amount of covalent bonds relate to its strength?'],"['How', 'do', 'the', 'amount', 'of', 'covalent', 'bonds', 'relate', 'to', 'its', 'strength', '?']"
Question,Where are covalent bonds most commonly found?,['Where are covalent bonds most commonly found?'],"['Where', 'are', 'covalent', 'bonds', 'most', 'commonly', 'found', '?']"
Question,Why is it difficult for organisms to use nitrogen?,['Why is it difficult for organisms to use nitrogen?'],"['Why', 'is', 'it', 'difficult', 'for', 'organisms', 'to', 'use', 'nitrogen', '?']"
Question,What bond connects the hydrogen and oxygen atoms in a water molecule?,['What bond connects the hydrogen and oxygen atoms in a water molecule?'],"['What', 'bond', 'connects', 'the', 'hydrogen', 'and', 'oxygen', 'atoms', 'in', 'a', 'water', 'molecule', '?']"
Question,Is water polar or nonpolar?,['Is water polar or nonpolar?'],"['Is', 'water', 'polar', 'or', 'nonpolar', '?']"
Question,What are the two types of weak bonds?,['What are the two types of weak bonds?'],"['What', 'are', 'the', 'two', 'types', 'of', 'weak', 'bonds', '?']"
Question,What is a substance that readily dissolves with water called?,['What is a substance that readily dissolves with water called?'],"['What', 'is', 'a', 'substance', 'that', 'readily', 'dissolves', 'with', 'water', 'called', '?']"
Question,What substances does water not interact well with?,['What substances does water not interact well with?'],"['What', 'substances', 'does', 'water', 'not', 'interact', 'well', 'with', '?']"
Question,Why does ice have a lower density than liquid water?,['Why does ice have a lower density than liquid water?'],"['Why', 'does', 'ice', 'have', 'a', 'lower', 'density', 'than', 'liquid', 'water', '?']"
Question,What is specific heat?,['What is specific heat?'],"['What', 'is', 'specific', 'heat', '?']"
Question,What liquid has the highest specific heat capacity?,['What liquid has the highest specific heat capacity?'],"['What', 'liquid', 'has', 'the', 'highest', 'specific', 'heat', 'capacity', '?']"
Question,What is water's cohesion property?,"[""What is water's cohesion property?""]","['What', 'is', 'water', ""'s"", 'cohesion', 'property', '?']"
Question,What property of water lets denser objects float on water?,['What property of water lets denser objects float on water?'],"['What', 'property', 'of', 'water', 'lets', 'denser', 'objects', 'float', 'on', 'water', '?']"
Question,What is the difference between cohesion and adhesion?,['What is the difference between cohesion and adhesion?'],"['What', 'is', 'the', 'difference', 'between', 'cohesion', 'and', 'adhesion', '?']"
Question,What are functional groups?,['What are functional groups?'],"['What', 'are', 'functional', 'groups', '?']"
Question,What are Isomers?,['What are Isomers?'],"['What', 'are', 'Isomers', '?']"
Question,What is the simplest hydrocarbon molecule?,['What is the simplest hydrocarbon molecule?'],"['What', 'is', 'the', 'simplest', 'hydrocarbon', 'molecule', '?']"
